abstract,author,meta,subject,title
"Samtla (Search And Mining Tools with Linguistic Analysis) is a digital
humanities system designed in collaboration with historians and linguists to
assist them with their research work in quantifying the content of any textual
corpora through approximate phrase search and document comparison. The
retrieval engine uses a character-based n-gram language model rather than the
conventional word-based one so as to achieve great flexibility in language
agnostic query processing.
The index is implemented as a space-optimised character-based suffix tree
with an accompanying database of document content and metadata. A number of
text mining tools are integrated into the system to allow researchers to
discover textual patterns, perform comparative analysis, and find out what is
currently popular in the research community.
Herein we describe the system architecture, user interface, models and
algorithms, and data storage of the Samtla system. We also present several case
studies of its usage in practice together with an evaluation of the systems'
ranking performance through crowdsourcing.
","Martyn Harris, Mark Levene, Dell Zhang, Dan Levene","Wed, 23 Mar 2016 12:02:12 GMT (5388kb,D)",Digital Libraries (cs.DL),The Anatomy of a Search and Mining System for Digital Archives
"Similar to other industries, the software engineering domain is plagued by
psychological diseases such as burnout, which lead developers to lose interest,
exhibit lower activity and/or feel powerless. Prevention is essential for such
diseases, which in turn requires early identification of symptoms. The
emotional dimensions of Valence, Arousal and Dominance (VAD) are able to derive
a person's interest (attraction), level of activation and perceived level of
control for a particular situation from textual communication, such as emails.
As an initial step towards identifying symptoms of productivity loss in
software engineering, this paper explores the VAD metrics and their properties
on 700,000 Jira issue reports containing over 2,000,000 comments, since issue
reports keep track of a developer's progress on addressing bugs or new
features. Using a general-purpose lexicon of 14,000 English words with known
VAD scores, our results show that issue reports of different type (e.g.,
Feature Request vs. Bug) have a fair variation of Valence, while increase in
issue priority (e.g., from Minor to Critical) typically increases Arousal.
Furthermore, we show that as an issue's resolution time increases, so does the
arousal of the individual the issue is assigned to. Finally, the resolution of
an issue increases valence, especially for the issue Reporter and for quickly
addressed issues. The existence of such relations between VAD and issue report
activities shows promise that text mining in the future could offer an
alternative way for work health assessment surveys.
","Mika M?ntyl?, Bram Adams, Giuseppe Destefanis, Daniel Graziotin, Marco Ortu","Mon, 14 Mar 2016 14:50:39 GMT (361kb,D)",Software Engineering (cs.SE),"Mining Valence, Arousal, and Dominance - Possibilities for Detecting Burnout and Productivity?"
"Intrusion Detection is one of major threats for organization. The approach of
intrusion detection using text processing has been one of research interests
which is gaining significant importance from researchers. In text mining based
approach for intrusion detection, system calls serve as source for mining and
predicting possibility of intrusion or attack. When an application runs, there
might be several system calls which are initiated in the background. These
system calls form the strong basis and the deciding factor for intrusion
detection. In this paper, we mainly discuss the approach for intrusion
detection by designing a distance measure which is designed by taking into
consideration the conventional Gaussian function and modified to suit the need
for similarity function. A Framework for intrusion detection is also discussed
as part of this research.
","Gunupudi RajeshKumar, N Mangathayaru, G Narsimha","Sat, 12 Mar 2016 01:12:08 GMT (994kb)",Cryptography and Security (cs.CR),Intrusion Detection A Text Mining Based Approach
"When looking at the structure of natural language, ""phrases"" and ""words"" are
central notions. We consider the problem of identifying such ""meaningful
subparts"" of language of any length and underlying composition principles in a
completely corpus-based and language-independent way without using any kind of
prior linguistic knowledge. Unsupervised methods for identifying ""phrases"",
mining subphrase structure and finding words in a fully automated way are
described. This can be considered as a step towards automatically computing a
""general dictionary and grammar of the corpus"". We hope that in the long run
variants of our approach turn out to be useful for other kind of sequence data
as well, such as, e.g., speech, genom sequences, or music annotation. Even if
we are not primarily interested in immediate applications, results obtained for
a variety of languages show that our methods are interesting for many practical
tasks in text mining, terminology extraction and lexicography, search engine
technology, and related fields.
","Stefan Gerdjikov, Klaus U. Schulz","Thu, 18 Feb 2016 12:08:05 GMT (679kb,D)",Computation and Language (cs.CL),Corpus analysis without prior linguistic knowledge - unsupervised mining of phrases and subphrase structure
"The information age has brought a deluge of data. Much of this is in text
form, insurmountable in scope for humans and incomprehensible in structure for
computers. Text mining is an expanding field of research that seeks to utilize
the information contained in vast document collections. General data mining
methods based on machine learning face challenges with the scale of text data,
posing a need for scalable text mining methods.
This thesis proposes a solution to scalable text mining: generative models
combined with sparse computation. A unifying formalization for generative text
models is defined, bringing together research traditions that have used
formally equivalent models, but ignored parallel developments. This framework
allows the use of methods developed in different processing tasks such as
retrieval and classification, yielding effective solutions across different
text mining tasks. Sparse computation using inverted indices is proposed for
inference on probabilistic models. This reduces the computational complexity of
the common text mining operations according to sparsity, yielding probabilistic
models with the scalability of modern search engines.
The proposed combination provides sparse generative models: a solution for
text mining that is general, effective, and scalable. Extensive experimentation
on text classification and ranked retrieval datasets are conducted, showing
that the proposed solution matches or outperforms the leading task-specific
methods in effectiveness, with a order of magnitude decrease in classification
times for Wikipedia article categorization with a million classes. The
developed methods were further applied in two 2014 Kaggle data mining prize
competitions with over a hundred competing teams, earning first and second
places.
",Antti Puurula,"Sun, 7 Feb 2016 02:49:27 GMT (4651kb,D)",Information Retrieval (cs.IR),Scalable Text Mining with Sparse Generative Models
"People are producing more written material then anytime in the history. The
increase is so high that professionals from the various fields are no more able
to cope with this amount of publications. Text mining tools can offer tools to
help them and one of the tools that can aid information retrieval and
information extraction is semantic text annotation. In this report we present
Marvin, a text annotator written in Java, which can be used as a command line
tool and as a Java library. Marvin is able to annotate text using multiple
sources, including WordNet, MetaMap, DBPedia and thesauri represented as SKOS.
",Nikola Milosevic,"Mon, 1 Feb 2016 13:27:34 GMT (217kb) [v2] Tue, 2 Feb 2016 11:31:17 GMT (218kb)",Artificial Intelligence (cs.AI),Marvin: Semantic annotation using multiple knowledge sources
"In Multiple Instance Learning (MIL) problem for sequence data, the learning
data consist of a set of bags where each bag contains a set of
instances/sequences. In many real world applications such as bioinformatics,
web mining, and text mining, comparing a random couple of sequences makes no
sense. In fact, each instance of each bag may have structural and/or temporal
relation with other instances in other bags. Thus, the classification task
should take into account the relation between semantically related instances
across bags. In this paper, we present two novel MIL approaches for sequence
data classification: (1) ABClass and (2) ABSim. In ABClass, each sequence is
represented by one vector of attributes. For each sequence of the unknown bag,
a discriminative classifier is applied in order to compute a partial
classification result. Then, an aggregation method is applied to these partial
results in order to generate the final result. In ABSim, we use a similarity
measure between each sequence of the unknown bag and the corresponding
sequences in the learning bags. An unknown bag is labeled with the bag that
presents more similar sequences. We applied both approaches to the problem of
bacterial Ionizing Radiation Resistance (IRR) prediction. We evaluated and
discussed the proposed approaches on well known Ionizing Radiation Resistance
Bacteria (IRRB) and Ionizing Radiation Sensitive Bacteria (IRSB) represented by
primary structure of basal DNA repair proteins. The experimental results show
that both ABClass and ABSim approaches are efficient.
","Manel Zoghlami, Sabeur Aridhi, Haitham Sghaier, Mondher Maddouri, Engelbert Mephu Nguifo","Sat, 30 Jan 2016 21:15:10 GMT (302kb,D)",Learning (cs.LG),A multiple instance learning approach for sequence data with across bag dependencies
"Many brokers have adapted their operation to exploit the potential of the
web. Despite the importance of the real estate classifieds, there has been
little work in analyzing such data. In this paper we propose a two-stage
regression model that exploits the textual data in real estate classifieds. We
show how our model can be used to predict the price of a real estate
classified. We also show how our model can be used to highlight keywords that
affect the price positively or negatively. To assess our contributions, we
analyze four real world data sets, which we gathered from three different
property websites. The analysis shows that our model (which exploits textual
features) achieves significantly lower root mean squared error across the
different data sets and against variety of regression models.
",Sherief Abdallah,"Sun, 15 Nov 2015 09:00:56 GMT (121kb,D)",Information Retrieval (cs.IR),Using Text Mining To Analyze Real Estate Classifieds
"In dynamic topic modeling, the proportional contribution of a topic to a
document depends on the temporal dynamics of that topic's overall prevalence in
the corpus. We extend the Dynamic Topic Model of Blei and Lafferty (2006) by
explicitly modeling document level topic proportions with covariates and
dynamic structure that includes polynomial trends and periodicity. A Markov
Chain Monte Carlo (MCMC) algorithm that utilizes Polya-Gamma data augmentation
is developed for posterior inference. Conditional independencies in the model
and sampling are made explicit, and our MCMC algorithm is parallelized where
possible to allow for inference in large corpora. To address computational
bottlenecks associated with Polya-Gamma sampling, we appeal to the Central
Limit Theorem to develop a Gaussian approximation to the Polya-Gamma random
variable. This approximation is fast and reliable for parameter values relevant
in the text mining domain. Our model and inference algorithm are validated with
multiple simulation examples, and we consider the application of modeling
trends in PubMed abstracts. We demonstrate that sharing information across
documents is critical for accurately estimating document-specific topic
proportions. We also show that explicitly modeling polynomial and periodic
behavior improves our ability to predict topic prevalence at future time
points.
","Chris Glynn, Surya T. Tokdar, David L. Banks, Brian Howard","Thu, 12 Nov 2015 16:26:13 GMT (1067kb,D)",Machine Learning (stat.ML),Bayesian Analysis of Dynamic Linear Topic Models
"The growing incidents of counterfeiting and associated economic and health
consequences necessitate the development of active surveillance systems capable
of producing timely and reliable information for all stake holders in the
anti-counterfeiting fight. User generated content from social media platforms
can provide early clues about product allergies, adverse events and product
counterfeiting. This paper reports a work in progresswith contributions
including: the development of a framework for gathering and analyzing the views
and experiences of users of drug and cosmetic products using machine learning,
text mining and sentiment analysis, the application of the proposed framework
on Facebook comments and data from Twitter for brand analysis, and the
description of how to develop a product safety lexicon and training data for
modeling a machine learning classifier for drug and cosmetic product sentiment
prediction. The initial brand and product comparison results signify the
usefulness of text mining and sentiment analysis on social media data while the
use of machine learning classifier for predicting the sentiment orientation
provides a useful tool for users, product manufacturers, regulatory and
enforcement agencies to monitor brand or product sentiment trends in order to
act in the event of sudden or significant rise in negative sentiment.
","Haruna Isah, Daniel Neagu, Paul Trundle","Sun, 18 Oct 2015 20:05:08 GMT (2852kb)",Social and Information Networks (cs.SI),Social Media Analysis for Product Safety using Text Mining and Sentiment Analysis
"Content based Document Classification is one of the biggest challenges in the
context of free text mining. Current algorithms on document classifications
mostly rely on cluster analysis based on bag-of-words approach. However that
method is still being applied to many modern scientific dilemmas. It has
established a strong presence in fields like economics and social science to
merit serious attention from the researchers. In this paper we would like to
propose and explore an alternative grounded more securely on the dictionary
classification and correlatedness of words and phrases. It is expected that
application of our existing knowledge about the underlying classification
structure may lead to improvement of the classifier's performance.
","Koushiki Sarkar, Ritwika Law","Sun, 4 Oct 2015 09:24:27 GMT (774kb) [v2] Sat, 12 Dec 2015 17:56:52 GMT (781kb)",Information Retrieval (cs.IR),A Novel Approach to Document Classification using WordNet
"Non-negative matrix factorization (NMF) is the problem of determining two
non-negative low rank factors $W$ and $H$, for the given input matrix $A$, such
that $A \approx W H$. NMF is a useful tool for many applications in different
domains such as topic modeling in text mining, background separation in video
analysis, and community detection in social networks. Despite its popularity in
the data mining community, there is a lack of efficient parallel software to
solve the problem for big datasets. Existing distributed-memory algorithms are
limited in terms of performance and applicability, as they are implemented
using Hadoop and are designed only for sparse matrices.
We propose a distributed-memory parallel algorithm that computes the
factorization by iteratively solving alternating non-negative least squares
(NLS) subproblems for $W$ and $H$. To our knowledge, our algorithm is the first
high-performance parallel algorithm for NMF. It maintains the data and factor
matrices in memory (distributed across processors), uses MPI for interprocessor
communication, and, in the dense case, provably minimizes communication costs
(under mild assumptions). As opposed to previous implementations, our algorithm
is also flexible: (1) it performs well for dense and sparse matrices, and (2)
it allows the user to choose from among multiple algorithms for solving local
NLS subproblems within the alternating iterations. We demonstrate the
scalability of our algorithm and compare it with baseline implementations,
showing significant performance improvements.
","Ramakrishnan Kannan, Grey Ballard, Haesun Park","Wed, 30 Sep 2015 19:47:39 GMT (468kb,D)","Distributed, Parallel, and Cluster Computing (cs.DC)",A High-Performance Parallel Algorithm for Nonnegative Matrix Factorization
"Text mining can be applied to many fields. One of the application is using
text mining in digital newspaper to do politic sentiment analysis. In this
paper sentiment analysis is applied to get information from digital news
articles about its positive or negative sentiment regarding particular
politician. This paper suggests a simple model to analyze digital newspaper
sentiment polarity using naive Bayes classifier method. The model uses a set of
initial data to begin with which will be updated when new information appears.
The model showed promising result when tested and can be implemented to some
other sentiment analysis problems.
","Yustinus Eko Soelistio, Martinus Raditia Sigit Surendra","Fri, 21 Aug 2015 01:40:54 GMT (592kb)",Computation and Language (cs.CL),Simple Text Mining for Sentiment Analysis of Political Figure Using Naive Bayes Classifier Method
"Using the spread of the Ice Bucket Challenge on Twitter as a case study, this
research compared the concurrent diffusion patterns of both information and
behaviors in online social networks. Individual behaviors in taking the
Challenge were detected by applying text mining techniques to millions of
tweets. After comparing diffusion dynamics of information and behaviors at the
network level, the individual level, and the dyadic level, our analysis
revealed interesting differences and interactions between the two diffusion
processes and laid foundations for future predictive and prescriptive analytics
for information and behavior diffusion in social networks.
","Shiyao Wang, Tianbo Yang, Qi Zhang, Kang Zhao","Tue, 18 Aug 2015 19:33:58 GMT (537kb)",Social and Information Networks (cs.SI),Concurrent diffusion of information and behaviors in online social networks -- a case study of the Ice Bucket Challenge
"Decision analytics commonly focuses on the text mining of financial news
sources in order to provide managerial decision support and to predict stock
market movements. Existing predictive frameworks almost exclusively apply
traditional machine learning methods, whereas recent research indicates that
traditional machine learning methods are not sufficiently capable of extracting
suitable features and capturing the non-linear nature of complex tasks. As a
remedy, novel deep learning models aim to overcome this issue by extending
traditional neural network models with additional hidden layers. Indeed, deep
learning has been shown to outperform traditional methods in terms of
predictive performance. In this paper, we adapt the novel deep learning
technique to financial decision support. In this instance, we aim to predict
the direction of stock movements following financial disclosures. As a result,
we show how deep learning can outperform the accuracy of random forests as a
benchmark for machine learning by 5.66%.
","Ralph Fehrer, Stefan Feuerriegel","Sun, 9 Aug 2015 07:39:24 GMT (626kb,D)",Machine Learning (stat.ML),Improving Decision Analytics with Deep Learning: The Case of Financial Disclosures
"To date, there have been massive Semi-Structured Documents (SSDs) during the
evolution of the Internet. These SSDs contain both unstructured features (e.g.,
plain text) and metadata (e.g., tags). Most previous works focused on modeling
the unstructured text, and recently, some other methods have been proposed to
model the unstructured text with specific tags. To build a general model for
SSDs remains an important problem in terms of both model fitness and
efficiency. We propose a novel method to model the SSDs by a so-called
Tag-Weighted Topic Model (TWTM). TWTM is a framework that leverages both the
tags and words information, not only to learn the document-topic and topic-word
distributions, but also to infer the tag-topic distributions for text mining
tasks. We present an efficient variational inference method with an EM
algorithm for estimating the model parameters. Meanwhile, we propose three
large-scale solutions for our model under the MapReduce distributed computing
platform for modeling large-scale SSDs. The experimental results show the
effectiveness, efficiency and the robustness by comparing our model with the
state-of-the-art methods in document modeling, tags prediction and text
classification. We also show the performance of the three distributed solutions
in terms of time and accuracy on document modeling.
","Shuangyin Li, Jiefei Li, Guan Huang, Ruiyang Tan, Rong Pan","Thu, 30 Jul 2015 06:44:37 GMT (654kb)",Computation and Language (cs.CL),Tag-Weighted Topic Model For Large-scale Semi-Structured Documents
"Text mining is a process of extracting information of interest from text.
Such a method includes techniques from various areas such as Information
Retrieval (IR), Natural Language Processing (NLP), and Information Extraction
(IE). In this study, text mining methods are applied to extract causal
relations from maritime accident investigation reports collected from the
Marine Accident Investigation Branch (MAIB). These causal relations provide
information on various mechanisms behind accidents, including human and
organizational factors relating to the accident. The objective of this study is
to facilitate the analysis of the maritime accident investigation reports, by
means of extracting contributory causes with more feasibility. A careful
investigation of contributory causes from the reports provide opportunity to
improve safety in future.
Two methods have been employed in this study to extract the causal relations.
They are 1) Pattern classification method and 2) Connectives method. The
earlier one uses naive Bayes and Support Vector Machines (SVM) as classifiers.
The latter simply searches for the words connecting cause and effect in
sentences.
The causal patterns extracted using these two methods are compared to the
manual (human expert) extraction. The pattern classification method showed a
fair and sensible performance with F-measure(average) = 65% when compared to
connectives method with F-measure(average) = 58%. This study is an evidence,
that text mining methods could be employed in extracting causal relations from
marine accident investigation reports.
",Santosh Tirunagari,"Thu, 9 Jul 2015 10:20:52 GMT (983kb,D)",Information Retrieval (cs.IR),Data Mining of Causal Relations from Text: Analysing Maritime Accident Investigation Reports
"This article is an extended version of a paper presented in the WSOM'2012
conference [1]. We display a combination of factorial projections, SOM
algorithm and graph techniques applied to a text mining problem. The corpus
contains 8 medieval manuscripts which were used to teach arithmetic techniques
to merchants. Among the techniques for Data Analysis, those used for
Lexicometry (such as Factorial Analysis) highlight the discrepancies between
manuscripts. The reason for this is that they focus on the deviation from the
independence between words and manuscripts. Still, we also want to discover and
characterize the common vocabulary among the whole corpus. Using the properties
of stochastic Kohonen maps, which define neighborhood between inputs in a
non-deterministic way, we highlight the words which seem to play a special role
in the vocabulary. We call them fickle and use them to improve both Kohonen map
robustness and significance of FCA visualization. Finally we use graph
algorithmic to exploit this fickleness for classification of words.
","Nicolas Bourgeois (SAMM), Marie Cottrell (SAMM), Benjamin D?ruelle (LAMOP), St?phane Lamass? (LAMOP), Patrick Letr?my (SAMM)","Thu, 25 Jun 2015 12:56:23 GMT (38kb)",Statistics Theory (math.ST),How to improve robustness in Kohonen maps and display additional information in Factorial Analysis: application to text mining
"The majority of big data is unstructured and of this majority the largest
chunk is text. While data mining techniques are well developed and standardized
for structured, numerical data, the realm of unstructured data is still largely
unexplored. The general focus lies on information extraction, which attempts to
retrieve known information from text. The Holy Grail, however is knowledge
discovery, where machines are expected to unearth entirely new facts and
relations that were not previously known by any human expert. Indeed,
understanding the meaning of text is often considered as one of the main
characteristics of human intelligence. The ultimate goal of semantic artificial
intelligence is to devise software that can understand the meaning of free
text, at least in the practical sense of providing new, actionable information
condensed out of a body of documents. As a stepping stone on the road to this
vision I will introduce a totally new approach to drug research, namely that of
identifying relevant information by employing a self-organizing semantic engine
to text mine large repositories of biomedical research papers, a technique
pioneered by Merck with the InfoCodex software. I will describe the methodology
and a first successful experiment for the discovery of new biomarkers and
phenotypes for diabetes and obesity on the basis of PubMed abstracts, public
clinical trials and Merck internal documents. The reported approach shows much
promise and has potential to impact fundamentally pharmaceutical research as a
way to shorten time-to-market of novel drugs, and for early recognition of dead
ends.
",Carlo A. Trugenberger,"Tue, 23 Jun 2015 18:04:14 GMT (351kb)",Artificial Intelligence (cs.AI),Scientific Discovery by Machine Intelligence: A New Avenue for Drug Research
"This paper proposes a decision support system to aid movie investment
decisions at the early stage of movie productions. The system predicts the
success of a movie based on its profitability by leveraging historical data
from various sources. Using social network analysis and text mining techniques,
the system automatically extracts several groups of features, including ""who""
are on the cast, ""what"" a movie is about, ""when"" a movie will be released, as
well as ""hybrid"" features that match ""who"" with ""what"", and ""when"" with ""what"".
Experiment results with movies during an 11-year period showed that the system
outperforms benchmark methods by a large margin in predicting movie
profitability. Novel features we proposed also made great contributions to the
prediction. In addition to designing a decision support system with practical
utilities, our analysis of key factors for movie profitability may also have
implications for theoretical research on team performance and the success of
creative work.
","Michael T. Lash, Kang Zhao","Wed, 17 Jun 2015 16:40:48 GMT (397kb,D) [v2] Fri, 29 Jan 2016 20:10:52 GMT (1109kb,D)",Artificial Intelligence (cs.AI),"Early Predictions of Movie Success: the Who, What, and When of Profitability"
"Important data are locked in ancient literature. It would be uneconomic to
produce these data again and today or to extract them without the help of text
mining technologies. Vespa is a text mining project whose aim is to extract
data on pest and crops interactions, to model and predict attacks on crops, and
to reduce the use of pesticides. A few attempts proposed an agricultural
information access. Another originality of our work is to parse documents with
a dependency of the document architecture.
","Nicolas Turenne, Mathieu Andro, Roselyne Corbi?re, Tien T. Phan","Thu, 23 Apr 2015 08:27:29 GMT (240kb)",Information Retrieval (cs.IR),Open Data Platform for Knowledge Access in Plant Health Domain : VESPA Mining
"The paper proposes a text-mining based analytical framework aiming at the
cognitive organization of complex scientific discourses. The approach is based
on models recently developed in science mapping, being a generalization of the
so-called Science Overlay Mapping methodology, referred to as Topic Overlay
Mapping (TOM). It is shown that via applications of TOM in visualization,
document clustering, time series analysis etc. the in-depth exploration and
even the measurement of cognitive complexity and its dynamics is feasible for
scientific domains. As a use case, an empirical study is presented into the
discovery of a long-standing complex, interdisciplinary discourse, the debate
on the species concept in biosystematics.
","Sandor Soos (Dept. Science Policy and Scientometrics, Library and Information Centre of the Hungarian Academy of Sciences, MTA)","Wed, 22 Apr 2015 14:17:38 GMT (1383kb)",Digital Libraries (cs.DL),A new generation of science overlay maps with an application to the history of biosystematics
"We present results of expanding the contents of the China Biographical
Database by text mining historical local gazetteers, difangzhi. The goal of the
database is to see how people are connected together, through kinship, social
connections, and the places and offices in which they served. The gazetteers
are the single most important collection of names and offices covering the Song
through Qing periods. Although we begin with local officials we shall
eventually include lists of local examination candidates, people from the
locality who served in government, and notable local figures with biographies.
The more data we collect the more connections emerge. The value of doing
systematic text mining work is that we can identify relevant connections that
are either directly informative or can become useful without deep historical
research. Academia Sinica is developing a name database for officials in the
central governments of the Ming and Qing dynasties.
","Peter K. Bol, Chao-Lin Liu, Hongsu Wang","Wed, 8 Apr 2015 22:38:35 GMT (969kb)",Computation and Language (cs.CL),Mining and discovering biographical information in Difangzhi with a language-model-based approach
"Incorporating the side information of text corpus, i.e., authors, time
stamps, and emotional tags, into the traditional text mining models has gained
significant interests in the area of information retrieval, statistical natural
language processing, and machine learning. One branch of these works is the
so-called Author Topic Model (ATM), which incorporates the authors's interests
as side information into the classical topic model. However, the existing ATM
needs to predefine the number of topics, which is difficult and inappropriate
in many real-world settings. In this paper, we propose an Infinite Author Topic
(IAT) model to resolve this issue. Instead of assigning a discrete probability
on fixed number of topics, we use a stochastic process to determine the number
of topics from the data itself. To be specific, we extend a gamma-negative
binomial process to three levels in order to capture the
author-document-keyword hierarchical structure. Furthermore, each document is
assigned a mixed gamma process that accounts for the multi-author's
contribution towards this document. An efficient Gibbs sampling inference
algorithm with each conditional distribution being closed-form is developed for
the IAT model. Experiments on several real-world datasets show the capabilities
of our IAT model to learn the hidden topics, authors' interests on these topics
and the number of topics simultaneously.
","Junyu Xuan, Jie Lu, Guangquan Zhang, Richard Yi Da Xu, Xiangfeng Luo","Mon, 30 Mar 2015 05:03:37 GMT (472kb)",Machine Learning (stat.ML),Infinite Author Topic Model based on Mixed Gamma-Negative Binomial Process
"Searching through a large volume of data is very critical for companies,
scientists, and searching engines applications due to time complexity and
memory complexity. In this paper, a new technique of generating FuzzyFind
Dictionary for text mining was introduced. We simply mapped the 23 bits of the
English alphabet into a FuzzyFind Dictionary or more than 23 bits by using more
FuzzyFind Dictionary, and reflecting the presence or absence of particular
letters. This representation preserves closeness of word distortions in terms
of closeness of the created binary vectors within Hamming distance of 2
deviations. This paper talks about the Golay Coding Transformation Hash Table
and how it can be used on a FuzzyFind Dictionary as a new technology for using
in searching through big data. This method is introduced by linear time
complexity for generating the dictionary and constant time complexity to access
the data and update by new data sets, also updating for new data sets is linear
time depends on new data points. This technique is based on searching only for
letters of English that each segment has 23 bits, and also we have more than
23-bit and also it could work with more segments as reference table.
","Kamran Kowsari, Maryam Yammahi, Nima Bari, Roman Vichr, Faisal Alsaby, Simon Y. Berkovich","Sun, 22 Mar 2015 21:46:12 GMT (1121kb)",Databases (cs.DB),Construction of FuzzyFind Dictionary using Golay Coding Transformation for Searching Applications
"Text Clustering is a text mining technique which divides the given set of
text documents into significant clusters. It is used for organizing a huge
number of text documents into a well-organized form. In the majority of the
clustering algorithms, the number of clusters must be specified apriori, which
is a drawback of these algorithms. The aim of this paper is to show
experimentally how to determine the number of clusters based on cluster
quality. Since partitional clustering algorithms are well-suited for clustering
large document datasets, we have confined our analysis to a partitional
clustering algorithm.
","G. Hannah Grace, Kalyani Desikan","Tue, 10 Mar 2015 10:34:06 GMT (465kb)",Information Retrieval (cs.IR),Experimental Estimation of Number of Clusters Based on Cluster Quality
"In this paper, we study idea mining from crowdsourcing applications which
encourage a group of people, who are usually undefined and very large sized, to
generate ideas for new product development (NPD). In order to isolate the
relatively small number of potential ones among ideas from crowd, decision
makers not only have to identify the key textual information representing the
ideas, but they also need to consider online opinions of people who gave
comments and votes on the ideas. Due to the extremely large size of text data
generated by people on the Internet, identifying textual information has been
carried out in manual ways, and has been considered very time consuming and
costly. To overcome the ineffectiveness, this paper introduces a novel
framework that can help decision makers discover ideas having the potential to
be used in an NPD process. To achieve this, a semi-automatic text mining
technique that retrieves useful text patterns from ideas posted on
crowdsourcing application is proposed. Then, we provide an online learning
algorithm to evaluate whether the idea is potential or not. Finally to verify
the effectiveness of our algorithm, we conducted experiments on the data, which
are collected from an existing crowd sourcing website.
","Thanh-Cong Dinh, Hyerim Bae, Jaehun Park, Joonsoo Bae","Wed, 25 Feb 2015 00:13:44 GMT (2279kb)",Information Retrieval (cs.IR),A framework to discover potential ideas of new product development from crowdsourcing application
"One of the most significant problems which inhibits further developments in
the areas of Knowledge Representation and Artificial Intelligence is a problem
of semantic alignment or knowledge mapping. The progress in its solution will
be greatly beneficial for further advances of information retrieval, ontology
alignment, relevance calculation, text mining, natural language processing etc.
In the paper the concept of multidimensional global knowledge map, elaborated
through unsupervised extraction of dependencies from large documents corpus, is
proposed. In addition, the problem of direct Human - Knowledge Representation
System interface is addressed and a concept of adaptive decoder proposed for
the purpose of interaction with previously described unified mapping model. In
combination these two approaches are suggested as basis for a development of a
new generation of knowledge representation systems.
","Dmytro Filatov, Taras Filatov","Sat, 21 Feb 2015 18:29:57 GMT (167kb)",Artificial Intelligence (cs.AI),Unified vector space mapping for knowledge representation systems
"In computer interfaces in general, especially in information retrieval tasks,
it is important to be able to quickly find and retrieve information. State of
the art approach, used, for example, in search engines, is not effective as it
introduces losses of meanings due to context to keywords back and forth
translation. Authors argue it increases the time and reduces the accuracy of
information retrieval compared to what it could be in the system that employs
modern information retrieval and text mining methods while presenting results
in an adaptive human- computer interface where system effectively learns what
operator needs through iterative interaction. In current work, a combination of
adaptive navigational interface and real time collaborative feedback analysis
for documents relevance weighting is proposed as an viable alternative to
prevailing ""telegraphic"" approach in information retrieval systems. Adaptive
navigation is provided through a dynamic links panel controlled by an
evolutionary algorithm. Documents relevance is initially established with
standard information retrieval techniques and is further refined in real time
through interaction of users with the system. Introduced concepts of
multidimensional Knowledge Map and Weighted Point of Interest allow finding
relevant documents and users with common interests through a trivial
calculation. Browsing search approach, the ability of the algorithm to adapt
navigation to users interests, collaborative refinement and the self-organising
features of the system are the main factors making such architecture effective
in various fields where non-structured knowledge shall be represented to the
users.
","Dmytro Filatov, Taras Filatov","Thu, 19 Feb 2015 11:47:28 GMT (1619kb)",Information Retrieval (cs.IR),Evolutionary algorithm based adaptive navigation in information retrieval interfaces
"We address the problem of \emph{quantification}, a supervised learning task
whose goal is, given a class, to estimate the relative frequency (or
\emph{prevalence}) of the class in a dataset of unlabelled items.
Quantification has several applications in data and text mining, such as
estimating the prevalence of positive reviews in a set of reviews of a given
product, or estimating the prevalence of a given support issue in a dataset of
transcripts of phone calls to tech support. So far, quantification has been
addressed by learning a general-purpose classifier, counting the unlabelled
items which have been assigned the class, and tuning the obtained counts
according to some heuristics. In this paper we depart from the tradition of
using general-purpose classifiers, and use instead a supervised learning model
for \emph{structured prediction}, capable of generating classifiers directly
optimized for the (multivariate and non-linear) function used for evaluating
quantification accuracy. The experiments that we have run on 5500 binary
high-dimensional datasets (averaging more than 14,000 documents each) show that
this method is more accurate, more stable, and more efficient than existing,
state-of-the-art quantification methods.
","Andrea Esuli, Fabrizio Sebastiani","Thu, 19 Feb 2015 08:06:54 GMT (237kb,D) [v2] Wed, 15 Apr 2015 14:45:59 GMT (237kb,D)",Learning (cs.LG),Optimizing Text Quantifiers for Multivariate Loss Functions
"In modern societies, cultural change seems ceaseless. The flux of fashion is
especially obvious for popular music. While much has been written about the
origin and evolution of pop, most claims about its history are anecdotal rather
than scientific in nature. To rectify this we investigate the US Billboard Hot
100 between 1960 and 2010. Using Music Information Retrieval (MIR) and
text-mining tools we analyse the musical properties of ~17,000 recordings that
appeared in the charts and demonstrate quantitative trends in their harmonic
and timbral properties. We then use these properties to produce an audio-based
classification of musical styles and study the evolution of musical diversity
and disparity, testing, and rejecting, several classical theories of cultural
change. Finally, we investigate whether pop musical evolution has been gradual
or punctuated. We show that, although pop music has evolved continuously, it
did so with particular rapidity during three stylistic ""revolutions"" around
1964, 1983 and 1991. We conclude by discussing how our study points the way to
a quantitative science of cultural change.
","Matthias Mauch, Robert M. MacCallum, Mark Levy, Armand M. Leroi","Tue, 17 Feb 2015 18:32:39 GMT (6182kb,D)",Physics and Society (physics.soc-ph),The Evolution of Popular Music: USA 1960-2010
